ScripName,StrikePrice,OptionType,StrTradeDateTime,TradeDateTime,ExpiryDate,StrExpiryDate,OI,COI,IV,VOL
NIFTY,12150.0,CE,14:29,2021-03-26 14:29:01.253535+05:30,2021-04-29,29APR21,1.41,-0.03,21.09,6600
NIFTY,12150.0,PE,14:29,2021-03-26 14:29:01.253535+05:30,2021-04-29,29APR21,1.42,-0.03,28.5,58575
NIFTY,12200.0,CE,14:29,2021-03-26 14:29:01.267536+05:30,2021-04-29,29APR21,1.9,0.04,0.0,9600
NIFTY,12200.0,PE,14:29,2021-03-26 14:29:01.267536+05:30,2021-04-29,29APR21,2.32,-0.05,28.36,108300
NIFTY,12250.0,CE,14:29,2021-03-26 14:29:01.275533+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12250.0,PE,14:29,2021-03-26 14:29:01.275533+05:30,2021-04-29,29APR21,0.04,0.0,28.15,20925
NIFTY,12300.0,CE,14:29,2021-03-26 14:29:01.283532+05:30,2021-04-29,29APR21,0.14,0.0,0.0,150
NIFTY,12300.0,PE,14:29,2021-03-26 14:29:01.283532+05:30,2021-04-29,29APR21,0.24,-0.0,28.12,17475
NIFTY,12350.0,CE,14:29,2021-03-26 14:29:01.291536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12350.0,PE,14:29,2021-03-26 14:29:01.291536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12400.0,CE,14:29,2021-03-26 14:29:01.299573+05:30,2021-04-29,29APR21,0.02,0.0,31.99,150
NIFTY,12400.0,PE,14:29,2021-03-26 14:29:01.299573+05:30,2021-04-29,29APR21,0.17,0.02,27.43,19425
NIFTY,12450.0,CE,14:29,2021-03-26 14:29:01.307536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12450.0,PE,14:29,2021-03-26 14:29:01.307536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12500.0,CE,14:29,2021-03-26 14:29:01.315536+05:30,2021-04-29,29APR21,7.78,0.12,7.51,54300
NIFTY,12500.0,PE,14:29,2021-03-26 14:29:01.315536+05:30,2021-04-29,29APR21,11.31,0.13,26.95,437325
NIFTY,12550.0,CE,14:29,2021-03-26 14:29:01.323536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12550.0,PE,14:29,2021-03-26 14:29:01.323536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12600.0,CE,14:29,2021-03-26 14:29:01.331547+05:30,2021-04-29,29APR21,0.08,-0.0,21.47,1350
NIFTY,12600.0,PE,14:29,2021-03-26 14:29:01.331547+05:30,2021-04-29,29APR21,0.19,0.04,26.15,36450
NIFTY,12650.0,CE,14:29,2021-03-26 14:29:01.339536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12650.0,PE,14:29,2021-03-26 14:29:01.339536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12700.0,CE,14:29,2021-03-26 14:29:01.347536+05:30,2021-04-29,29APR21,0.05,0.0,0.0,375
NIFTY,12700.0,PE,14:29,2021-03-26 14:29:01.347536+05:30,2021-04-29,29APR21,0.24,0.06,25.64,30675
NIFTY,12750.0,CE,14:29,2021-03-26 14:29:01.355546+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12750.0,PE,14:29,2021-03-26 14:29:01.355546+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12800.0,CE,14:29,2021-03-26 14:29:01.362544+05:30,2021-04-29,29APR21,0.09,0.0,0.0,225
NIFTY,12800.0,PE,14:29,2021-03-26 14:29:01.362544+05:30,2021-04-29,29APR21,1.09,0.57,25.18,168000
NIFTY,12850.0,CE,14:29,2021-03-26 14:29:01.371421+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12850.0,PE,14:29,2021-03-26 14:29:01.371421+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12900.0,CE,14:29,2021-03-26 14:29:01.379497+05:30,2021-04-29,29APR21,0.08,-0.02,0.0,3000
NIFTY,12900.0,PE,14:29,2021-03-26 14:29:01.379497+05:30,2021-04-29,29APR21,0.98,0.05,24.77,99000
NIFTY,12950.0,CE,14:29,2021-03-26 14:29:01.388086+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12950.0,PE,14:29,2021-03-26 14:29:01.388086+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13000.0,CE,14:29,2021-03-26 14:29:01.395089+05:30,2021-04-29,29APR21,7.63,0.48,22.15,82875
NIFTY,13000.0,PE,14:29,2021-03-26 14:29:01.395089+05:30,2021-04-29,29APR21,11.74,0.65,24.64,993150
NIFTY,13050.0,CE,14:29,2021-03-26 14:29:01.403089+05:30,2021-04-29,29APR21,0.0,0.0,20.69,0
NIFTY,13050.0,PE,14:29,2021-03-26 14:29:01.403089+05:30,2021-04-29,29APR21,0.05,0.02,24.56,5850
NIFTY,13100.0,CE,14:29,2021-03-26 14:29:01.411088+05:30,2021-04-29,29APR21,0.1,0.0,26.5,75
NIFTY,13100.0,PE,14:29,2021-03-26 14:29:01.411088+05:30,2021-04-29,29APR21,1.06,0.32,24.09,190350
NIFTY,13150.0,CE,14:29,2021-03-26 14:29:01.419086+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13150.0,PE,14:29,2021-03-26 14:29:01.419086+05:30,2021-04-29,29APR21,0.04,0.03,24.59,14100
NIFTY,13200.0,CE,14:29,2021-03-26 14:29:01.427086+05:30,2021-04-29,29APR21,0.18,-0.0,23.74,525
NIFTY,13200.0,PE,14:29,2021-03-26 14:29:01.427086+05:30,2021-04-29,29APR21,1.64,0.79,23.67,264525
NIFTY,13250.0,CE,14:29,2021-03-26 14:29:01.436088+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13250.0,PE,14:29,2021-03-26 14:29:01.436088+05:30,2021-04-29,29APR21,0.06,0.03,23.54,17775
NIFTY,13300.0,CE,14:29,2021-03-26 14:29:01.444089+05:30,2021-04-29,29APR21,0.12,-0.0,25.49,150
NIFTY,13300.0,PE,14:29,2021-03-26 14:29:01.444089+05:30,2021-04-29,29APR21,2.07,0.64,23.38,310050
NIFTY,13350.0,CE,14:29,2021-03-26 14:29:01.452089+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13350.0,PE,14:29,2021-03-26 14:29:01.452089+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13400.0,CE,14:29,2021-03-26 14:29:01.460089+05:30,2021-04-29,29APR21,0.04,0.0,25.02,225
NIFTY,13400.0,PE,14:29,2021-03-26 14:29:01.460089+05:30,2021-04-29,29APR21,2.49,0.53,23.07,362475
NIFTY,13450.0,CE,14:29,2021-03-26 14:29:01.469090+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13450.0,PE,14:29,2021-03-26 14:29:01.469090+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13500.0,CE,14:29,2021-03-26 14:29:01.477086+05:30,2021-04-29,29APR21,4.86,0.07,22.95,48000
NIFTY,13500.0,PE,14:29,2021-03-26 14:29:01.477086+05:30,2021-04-29,29APR21,25.0,3.01,22.89,1666275
NIFTY,13550.0,CE,14:29,2021-03-26 14:29:01.486085+05:30,2021-04-29,29APR21,0.0,0.0,16.29,0
NIFTY,13550.0,PE,14:29,2021-03-26 14:29:01.486085+05:30,2021-04-29,29APR21,0.03,0.01,23.02,4125
NIFTY,13600.0,CE,14:29,2021-03-26 14:29:01.494085+05:30,2021-04-29,29APR21,0.24,0.12,22.42,19500
NIFTY,13600.0,PE,14:29,2021-03-26 14:29:01.494085+05:30,2021-04-29,29APR21,8.22,0.4,22.53,488475
NIFTY,13650.0,CE,14:29,2021-03-26 14:29:01.502095+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13650.0,PE,14:29,2021-03-26 14:29:01.502095+05:30,2021-04-29,29APR21,0.18,0.03,22.44,57150
NIFTY,13700.0,CE,14:29,2021-03-26 14:29:01.510089+05:30,2021-04-29,29APR21,0.19,0.01,21.22,2850
NIFTY,13700.0,PE,14:29,2021-03-26 14:29:01.510089+05:30,2021-04-29,29APR21,9.22,-0.18,22.37,712500
NIFTY,13750.0,CE,14:29,2021-03-26 14:29:01.518108+05:30,2021-04-29,29APR21,0.0,0.0,17.87,0
NIFTY,13750.0,PE,14:29,2021-03-26 14:29:01.518108+05:30,2021-04-29,29APR21,0.13,0.04,22.18,57825
NIFTY,13800.0,CE,14:29,2021-03-26 14:29:01.526089+05:30,2021-04-29,29APR21,0.2,0.0,21.55,5400
NIFTY,13800.0,PE,14:29,2021-03-26 14:29:01.526089+05:30,2021-04-29,29APR21,9.63,0.63,21.96,714300
NIFTY,13850.0,CE,14:29,2021-03-26 14:29:01.534089+05:30,2021-04-29,29APR21,0.0,0.0,22.95,450
NIFTY,13850.0,PE,14:29,2021-03-26 14:29:01.534089+05:30,2021-04-29,29APR21,0.15,0.01,21.9,53475
NIFTY,13900.0,CE,14:29,2021-03-26 14:29:01.542089+05:30,2021-04-29,29APR21,0.12,0.0,21.41,5325
NIFTY,13900.0,PE,14:29,2021-03-26 14:29:01.542089+05:30,2021-04-29,29APR21,9.0,0.11,21.73,454050
NIFTY,13950.0,CE,14:29,2021-03-26 14:29:01.550089+05:30,2021-04-29,29APR21,0.07,0.0,17.43,0
NIFTY,13950.0,PE,14:29,2021-03-26 14:29:01.550089+05:30,2021-04-29,29APR21,0.17,0.06,21.74,77475
NIFTY,14000.0,CE,14:29,2021-03-26 14:29:01.558089+05:30,2021-04-29,29APR21,3.53,-0.24,21.52,199575
NIFTY,14000.0,PE,14:29,2021-03-26 14:29:01.558089+05:30,2021-04-29,29APR21,31.85,-1.56,21.54,2519025
NIFTY,14050.0,CE,14:29,2021-03-26 14:29:01.567089+05:30,2021-04-29,29APR21,0.13,0.04,21.87,19425
NIFTY,14050.0,PE,14:29,2021-03-26 14:29:01.567089+05:30,2021-04-29,29APR21,0.21,0.07,21.55,48750
NIFTY,14100.0,CE,14:29,2021-03-26 14:29:01.575089+05:30,2021-04-29,29APR21,0.58,-0.02,21.45,18375
NIFTY,14100.0,PE,14:29,2021-03-26 14:29:01.575089+05:30,2021-04-29,29APR21,6.42,-0.28,21.32,638250
NIFTY,14150.0,CE,14:29,2021-03-26 14:29:01.583089+05:30,2021-04-29,29APR21,0.08,-0.01,21.46,78450
NIFTY,14150.0,PE,14:29,2021-03-26 14:29:01.583089+05:30,2021-04-29,29APR21,0.38,0.27,21.15,78750
NIFTY,14200.0,CE,14:29,2021-03-26 14:29:01.591089+05:30,2021-04-29,29APR21,0.47,-0.04,21.2,62850
NIFTY,14200.0,PE,14:29,2021-03-26 14:29:01.591089+05:30,2021-04-29,29APR21,12.35,0.78,20.93,884925
NIFTY,14250.0,CE,14:29,2021-03-26 14:29:01.598089+05:30,2021-04-29,29APR21,0.11,0.04,20.49,20850
NIFTY,14250.0,PE,14:29,2021-03-26 14:29:01.598089+05:30,2021-04-29,29APR21,0.17,0.04,20.92,49650
NIFTY,14300.0,CE,14:29,2021-03-26 14:29:01.606089+05:30,2021-04-29,29APR21,1.13,-0.12,21.21,169875
NIFTY,14300.0,PE,14:29,2021-03-26 14:29:01.606089+05:30,2021-04-29,29APR21,7.15,-0.03,20.71,686025
NIFTY,14350.0,CE,14:29,2021-03-26 14:29:01.615089+05:30,2021-04-29,29APR21,0.1,-0.04,21.2,13275
NIFTY,14350.0,PE,14:29,2021-03-26 14:29:01.615089+05:30,2021-04-29,29APR21,0.17,-0.0,20.54,41850
NIFTY,14400.0,CE,14:29,2021-03-26 14:29:01.622089+05:30,2021-04-29,29APR21,2.18,-0.21,20.72,383775
NIFTY,14400.0,PE,14:29,2021-03-26 14:29:01.622089+05:30,2021-04-29,29APR21,4.59,0.77,20.42,875325
NIFTY,14450.0,CE,14:29,2021-03-26 14:29:01.631087+05:30,2021-04-29,29APR21,0.19,-0.01,20.06,59325
NIFTY,14450.0,PE,14:29,2021-03-26 14:29:01.631087+05:30,2021-04-29,29APR21,0.28,0.14,20.35,122250
NIFTY,14500.0,CE,14:29,2021-03-26 14:29:01.639085+05:30,2021-04-29,29APR21,14.04,1.19,20.5,2028675
NIFTY,14500.0,PE,14:29,2021-03-26 14:29:01.639085+05:30,2021-04-29,29APR21,26.4,3.27,20.25,2710275
NIFTY,14550.0,CE,14:29,2021-03-26 14:29:01.648085+05:30,2021-04-29,29APR21,0.19,0.08,20.15,88275
NIFTY,14550.0,PE,14:29,2021-03-26 14:29:01.648085+05:30,2021-04-29,29APR21,0.31,0.22,20.09,96150
NIFTY,14600.0,CE,14:29,2021-03-26 14:29:01.655085+05:30,2021-04-29,29APR21,4.54,1.06,20.05,1014825
NIFTY,14600.0,PE,14:29,2021-03-26 14:29:01.655085+05:30,2021-04-29,29APR21,3.26,0.68,19.88,710025
NIFTY,14650.0,CE,14:29,2021-03-26 14:29:01.664087+05:30,2021-04-29,29APR21,0.27,0.05,19.69,70500
NIFTY,14650.0,PE,14:29,2021-03-26 14:29:01.664087+05:30,2021-04-29,29APR21,0.21,0.07,19.59,48075
NIFTY,14700.0,CE,14:29,2021-03-26 14:29:01.671087+05:30,2021-04-29,29APR21,5.14,-0.21,19.61,794625
NIFTY,14700.0,PE,14:29,2021-03-26 14:29:01.671087+05:30,2021-04-29,29APR21,13.78,-0.86,19.16,709500
NIFTY,14750.0,CE,14:29,2021-03-26 14:29:01.680087+05:30,2021-04-29,29APR21,0.31,0.09,19.75,61950
NIFTY,14750.0,PE,14:29,2021-03-26 14:29:01.680087+05:30,2021-04-29,29APR21,0.38,0.01,19.91,17925
NIFTY,14800.0,CE,14:29,2021-03-26 14:29:01.688087+05:30,2021-04-29,29APR21,5.38,-0.05,19.31,643125
NIFTY,14800.0,PE,14:29,2021-03-26 14:29:01.688087+05:30,2021-04-29,29APR21,7.98,-0.03,19.11,203550
NIFTY,14850.0,CE,14:29,2021-03-26 14:29:01.696089+05:30,2021-04-29,29APR21,0.27,0.08,19.1,49950
NIFTY,14850.0,PE,14:29,2021-03-26 14:29:01.696089+05:30,2021-04-29,29APR21,0.17,-0.04,19.22,43950
NIFTY,14900.0,CE,14:29,2021-03-26 14:29:01.703087+05:30,2021-04-29,29APR21,2.43,0.21,19.04,446625
NIFTY,14900.0,PE,14:29,2021-03-26 14:29:01.703087+05:30,2021-04-29,29APR21,1.42,-0.05,18.28,136575
NIFTY,14950.0,CE,14:29,2021-03-26 14:29:01.712087+05:30,2021-04-29,29APR21,0.25,0.08,18.96,68775
NIFTY,14950.0,PE,14:29,2021-03-26 14:29:01.712087+05:30,2021-04-29,29APR21,0.13,0.01,18.93,2850
NIFTY,15000.0,CE,14:29,2021-03-26 14:29:01.719089+05:30,2021-04-29,29APR21,20.66,-1.32,18.72,2294625
NIFTY,15000.0,PE,14:29,2021-03-26 14:29:01.719089+05:30,2021-04-29,29APR21,8.98,-0.14,18.36,294825
NIFTY,15050.0,CE,14:29,2021-03-26 14:29:01.727090+05:30,2021-04-29,29APR21,0.18,0.04,18.55,52800
NIFTY,15050.0,PE,14:29,2021-03-26 14:29:01.727090+05:30,2021-04-29,29APR21,0.05,-0.02,18.96,3675
NIFTY,15100.0,CE,14:29,2021-03-26 14:29:01.735089+05:30,2021-04-29,29APR21,2.95,0.64,18.46,441075
NIFTY,15100.0,PE,14:29,2021-03-26 14:29:01.735089+05:30,2021-04-29,29APR21,0.44,-0.01,18.28,20400
NIFTY,15150.0,CE,14:29,2021-03-26 14:29:01.744088+05:30,2021-04-29,29APR21,0.19,0.02,18.36,49725
NIFTY,15150.0,PE,14:29,2021-03-26 14:29:01.744088+05:30,2021-04-29,29APR21,0.04,0.0,18.19,450
NIFTY,15200.0,CE,14:29,2021-03-26 14:29:01.751088+05:30,2021-04-29,29APR21,3.37,-0.2,18.2,724875
NIFTY,15200.0,PE,14:29,2021-03-26 14:29:01.751088+05:30,2021-04-29,29APR21,0.57,0.05,17.71,19500
NIFTY,15250.0,CE,14:29,2021-03-26 14:29:01.760086+05:30,2021-04-29,29APR21,0.32,0.04,18.2,65400
NIFTY,15250.0,PE,14:29,2021-03-26 14:29:01.760086+05:30,2021-04-29,29APR21,0.1,0.0,17.8,975
NIFTY,15300.0,CE,14:29,2021-03-26 14:29:01.768088+05:30,2021-04-29,29APR21,3.17,0.4,17.95,533025
NIFTY,15300.0,PE,14:29,2021-03-26 14:29:01.768088+05:30,2021-04-29,29APR21,0.33,0.0,17.53,7275
NIFTY,15350.0,CE,14:29,2021-03-26 14:29:01.777089+05:30,2021-04-29,29APR21,0.25,0.03,17.95,78150
NIFTY,15350.0,PE,14:29,2021-03-26 14:29:01.777089+05:30,2021-04-29,29APR21,0.03,0.0,19.77,75
NIFTY,15400.0,CE,14:29,2021-03-26 14:29:01.785089+05:30,2021-04-29,29APR21,2.72,0.64,17.74,450450
NIFTY,15400.0,PE,14:29,2021-03-26 14:29:01.785089+05:30,2021-04-29,29APR21,0.2,0.01,17.85,10275
NIFTY,15450.0,CE,14:29,2021-03-26 14:29:01.793091+05:30,2021-04-29,29APR21,0.18,0.04,17.79,129375
NIFTY,15450.0,PE,14:29,2021-03-26 14:29:01.793091+05:30,2021-04-29,29APR21,0.02,0.0,17.63,900
NIFTY,15500.0,CE,14:29,2021-03-26 14:29:01.802089+05:30,2021-04-29,29APR21,11.48,1.53,17.72,1593075
NIFTY,15500.0,PE,14:29,2021-03-26 14:29:01.802089+05:30,2021-04-29,29APR21,2.29,-1.19,16.41,43575
NIFTY,15550.0,CE,14:29,2021-03-26 14:29:01.809109+05:30,2021-04-29,29APR21,0.16,0.01,17.72,43800
NIFTY,15550.0,PE,14:29,2021-03-26 14:29:01.809109+05:30,2021-04-29,29APR21,0.01,0.0,16.83,225
NIFTY,15600.0,CE,14:29,2021-03-26 14:29:01.817089+05:30,2021-04-29,29APR21,2.05,0.48,17.6,293175
NIFTY,15600.0,PE,14:29,2021-03-26 14:29:01.817089+05:30,2021-04-29,29APR21,0.06,0.0,20.7,1275
NIFTY,15650.0,CE,14:29,2021-03-26 14:29:01.825098+05:30,2021-04-29,29APR21,0.04,0.01,17.73,14175
NIFTY,15650.0,PE,14:29,2021-03-26 14:29:01.825098+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,15700.0,CE,14:29,2021-03-26 14:29:01.833089+05:30,2021-04-29,29APR21,3.11,0.65,17.63,496950
NIFTY,15700.0,PE,14:29,2021-03-26 14:29:01.833089+05:30,2021-04-29,29APR21,0.27,-0.01,20.8,1200
NIFTY,15750.0,CE,14:29,2021-03-26 14:29:01.841089+05:30,2021-04-29,29APR21,0.09,0.02,17.83,12150
NIFTY,15750.0,PE,14:29,2021-03-26 14:29:01.841089+05:30,2021-04-29,29APR21,0.0,0.0,21.08,0
NIFTY,15800.0,CE,14:29,2021-03-26 14:29:01.849097+05:30,2021-04-29,29APR21,3.82,0.12,17.9,313425
NIFTY,15800.0,PE,14:29,2021-03-26 14:29:01.849097+05:30,2021-04-29,29APR21,0.17,-0.0,17.1,3900
NIFTY,15850.0,CE,14:29,2021-03-26 14:29:01.857087+05:30,2021-04-29,29APR21,0.01,0.0,16.7,0
NIFTY,15850.0,PE,14:29,2021-03-26 14:29:01.857087+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,15900.0,CE,14:29,2021-03-26 14:29:01.865089+05:30,2021-04-29,29APR21,3.75,0.04,18.25,291525
NIFTY,15900.0,PE,14:29,2021-03-26 14:29:01.865089+05:30,2021-04-29,29APR21,0.02,0.0,26.6,375
NIFTY,15950.0,CE,14:29,2021-03-26 14:29:01.873089+05:30,2021-04-29,29APR21,0.07,0.0,18.38,19050
NIFTY,15950.0,PE,14:29,2021-03-26 14:29:01.873089+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16000.0,CE,14:29,2021-03-26 14:29:01.882771+05:30,2021-04-29,29APR21,13.45,-0.23,18.5,1235550
NIFTY,16000.0,PE,14:29,2021-03-26 14:29:01.882771+05:30,2021-04-29,29APR21,6.11,0.24,3.76,73500
NIFTY,16050.0,CE,14:29,2021-03-26 14:29:01.891286+05:30,2021-04-29,29APR21,0.19,0.02,18.67,32325
NIFTY,16050.0,PE,14:29,2021-03-26 14:29:01.891286+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16100.0,CE,14:29,2021-03-26 14:29:01.900289+05:30,2021-04-29,29APR21,1.44,0.26,18.77,160125
NIFTY,16100.0,PE,14:29,2021-03-26 14:29:01.900289+05:30,2021-04-29,29APR21,0.02,0.0,0.0,0
NIFTY,16150.0,CE,14:29,2021-03-26 14:29:01.908289+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16150.0,PE,14:29,2021-03-26 14:29:01.908289+05:30,2021-04-29,29APR21,0.0,0.0,18.17,0
NIFTY,16200.0,CE,14:29,2021-03-26 14:29:01.916289+05:30,2021-04-29,29APR21,1.49,0.03,19.11,104025
NIFTY,16200.0,PE,14:29,2021-03-26 14:29:01.916289+05:30,2021-04-29,29APR21,0.05,0.0,0.0,150
NIFTY,16250.0,CE,14:29,2021-03-26 14:29:01.923289+05:30,2021-04-29,29APR21,0.01,0.0,17.45,0
NIFTY,16250.0,PE,14:29,2021-03-26 14:29:01.923289+05:30,2021-04-29,29APR21,0.0,0.0,17.14,0
NIFTY,16300.0,CE,14:29,2021-03-26 14:29:01.932288+05:30,2021-04-29,29APR21,0.98,-0.19,19.48,78975
NIFTY,16300.0,PE,14:29,2021-03-26 14:29:01.932288+05:30,2021-04-29,29APR21,0.0,0.0,18.04,0
NIFTY,16350.0,CE,14:29,2021-03-26 14:29:01.941289+05:30,2021-04-29,29APR21,0.0,0.0,17.19,0
NIFTY,16350.0,PE,14:29,2021-03-26 14:29:01.941289+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16400.0,CE,14:29,2021-03-26 14:29:01.949289+05:30,2021-04-29,29APR21,0.49,-0.15,19.77,28350
NIFTY,16400.0,PE,14:29,2021-03-26 14:29:01.949289+05:30,2021-04-29,29APR21,0.0,0.0,28.86,0
NIFTY,16450.0,CE,14:29,2021-03-26 14:29:01.957290+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16450.0,PE,14:29,2021-03-26 14:29:01.957290+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16500.0,CE,14:29,2021-03-26 14:29:01.965290+05:30,2021-04-29,29APR21,6.74,0.49,20.13,315000
NIFTY,16500.0,PE,14:29,2021-03-26 14:29:01.965290+05:30,2021-04-29,29APR21,3.79,0.2,14.88,39675
NIFTY,16550.0,CE,14:29,2021-03-26 14:29:01.973306+05:30,2021-04-29,29APR21,0.03,0.0,19.16,0
NIFTY,16550.0,PE,14:29,2021-03-26 14:29:01.973306+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16600.0,CE,14:29,2021-03-26 14:29:01.981289+05:30,2021-04-29,29APR21,0.17,0.01,20.47,10050
NIFTY,16600.0,PE,14:29,2021-03-26 14:29:01.981289+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16650.0,CE,14:29,2021-03-26 14:29:01.990287+05:30,2021-04-29,29APR21,0.0,0.0,21.12,675
NIFTY,16650.0,PE,14:29,2021-03-26 14:29:01.990287+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16700.0,CE,14:29,2021-03-26 14:29:01.998289+05:30,2021-04-29,29APR21,0.33,0.03,21.03,11550
NIFTY,16700.0,PE,14:29,2021-03-26 14:29:01.998289+05:30,2021-04-29,29APR21,0.0,0.0,25.22,0
NIFTY,16750.0,CE,14:29,2021-03-26 14:29:02.006289+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16750.0,PE,14:29,2021-03-26 14:29:02.006289+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,16800.0,CE,14:29,2021-03-26 14:29:02.014290+05:30,2021-04-29,29APR21,2.71,0.07,21.3,107250
NIFTY,16800.0,PE,14:29,2021-03-26 14:29:02.014290+05:30,2021-04-29,29APR21,0.86,0.01,16.34,3600
