Symbol,Pid
NSEI,17940
ACC,17980
ADANIENTERPRISES,17984
ADANIPOWER,17985
AJANTAPHARMALTD,947273
ALLAHABADBANK,17992
AMARARAJABATTERIES,17997
AMBUJACEMENTS,17998
APOLLOHOSPITALS,18004
APOLLOTYRES,18005
ARVIND,18008
ASHOKLEYLAND,18010
ASIANPAINTS,18011
AUROBINDOPHARMA,18014
AXISBANK,18017
BAJAJAUTO,18020
BAJAJFINANCE,18022
BAJAJFINSERVLIMITED,18023
BALKRISHNAINDUSTRIESLTD,39853
BALRAMPURCHINIMILLS,18029
BANKOFBARODA,18047
BATAINDIA,18034
BEML,18035
BERGERPAINTS(I),18036
BHARATELECTRONICS,18043
BHARATFORGE,18039
BHARATHEAVYELECTRICALS,18042
BHARATPETROLEUM,18040
BHARTIAIRTEL,18041
BHARTIINFRATELLTD,39852
BIOCON,18045
BOSCH,18052
BRITANNIAINDUSTRIES,18054
CADILAHEALTHCARE,18055
CANARABANK,18057
CANFINHOMES,18058
CASTROLINDIA,18061
CEATLTD,947439
CENTURYTEXTILESINDUSTRIES,18065
CESC,18066
CHENNAIPETROLEUMCORPORATION,18069
CHOLAMANDALAMINV.ANDFINANCE,18070
CIPLA,18071
COALINDIA,18075
COLGATEPALMOLIVE(INDIA),18076
CONTAINERCORPORATIONOFINDIA,18077
CROMPTONGREAVES,18083
CUMMINSINDIA,18084
DABURINDIA,18086
DALMIABHARATLTD,39857
DEWANHOUSINGFINANCE,18094
DISHTVINDIALIMITED,18097
DIVISLABORATORIES,18099
DLF,18100
DRREDDYSLABORATORIES,18101
EICHERMOTORS,18108
ENGINEERSINDIA,18114
EQUITASHOLDINGSLTD,976491
ESCORTS,18118
EXIDEINDUSTRIES,18122
FUTURECAPITALHOLDINGS,18134
GAIL(INDIA),18137
GLENMARKPHARMACEUTICALS,18149
GMRINFRASTRUCTURE,18150
GODFREYPHILLIPSINDIA,18151
GODREJCONSUMERPRODUCTS,18152
GODREJINDUSTRIES,18153
GRANULESINDIALTD,947234
GRASIMINDUSTRIES,18156
GUJARATSTATEFERTIL.CHEM.,18168
HAVELLSINDIA,18174
HCLTECHNOLOGIES,18176
HDFCBANKLTD,18177
HEROMOTOCORP,18179
HEXAWARETECHNOLOGIES,18180
HINDALCOINDUSTRIES,18187
HINDUSTANCONSTRUCTIONCOMPANY,18183
HINDUSTANPETROLEUM,18184
HINDUSTANUNILEVER,18185
HINDUSTANZINC,18186
HOUSINGDEVELOPMENTFINANCE,18191
ICICIBANKLTD,18198
ICICIPRUDENTIALLIFEINSURANCECOM,991131
IDBIBANK,18199
IDEACELLULAR,18200
IDFCBANKLTD,960765
IDFCLIMITED,18219
IFCI,18195
INDIABULLS,100254
INDIANBANK,18209
INDIANOILCORPORATION,18197
INDRAPRASTHAGAS,18213
INDUSINDBANK,18215
INFIBEAMINCORPORATION,976203
INFOSYS,18217
INTERGLOBEAVIATIONLTD,961701
IRBINFRASTRUCTUREDEVELOPERS,18223
ITC,18224
JAINIRRIGATIONSYSTEMS,18230
JAIPRAKASHASSOCIATES,18231
JETAIRWAYS(INDIA),18237
JINDALSTEELPOWER,18241
JSWSTEEL,18226
JUBILANTINDUSTRIESLTD,946945
JUSTDIALLTD,100244
KAJARIACERAMICS,18251
KAVERISEEDCOMPANYLTD,39880
KOTAKMAHINDRABANK,18260
KPITCUMMINSINFOSYSTEMS,18261
LARSENTOUBRO,18268
LTFINANCEHOLDINGSLTD,39882
LUPIN,18270
MAHANAGARGASLTDNS,985843
MAHINDRAMAHINDRA,18273
MAHINDRAMAHINDRAFINANCIALS,18271
MANAPPURAMFINANCELTD,39888
MANGALOREREFINERYANDPETRO.,18292
MARICO,18276
MARUTISUZUKIINDIA,18277
MAXINDIA,18279
MCDOWELLHOLDINGSLTD,947063
MINDTREE,18283
MOTHERSONSUMISYSTEMS,18288
MRF,18291
MUNDRAPORTSPECIALECO.ZONE,18294
MUTHOOTFINANCELTD,39890
NATIONALALUMINIUM,18299
NATIONALBU,100271
NATLCEMENTCO,12553
NESTLE,30059
NHPC,18307
NIIT,18296
NMDC,18309
NTPC,18297
OILINDIA,18313
OILNATURALGASCORPORATION,18311
ORACLEFINANCIALSOFTWARE,18316
ORIENTALBANKOFCOMMERCE,18321
PAGEINDUSTRIES,18325
PCJEWELLERLTD,39896
PETRONETLNG,18334
PIDILITEINDUSTRIES,18337
PIRAMALHEALTHCARE,18339
POWERFINANCECORPORATION,18341
POWERGRIDCORP.OFINDIA,18342
PTCINDIA,18348
PUNJABNATIONALBANK,18350
PVRL,100260
RAMCOINDUSTRIES,18355
RAYMOND,18358
RBLBANKLTD,987147
RELIANCECAPITAL,18361
RELIANCECOMMUNICATIONS,18362
RELIANCEINDUSTRIES,18367
RELIANCEINFRASTRUCTURE,18364
RELIANCEPOWER,18366
REPCOHOMEFINANCELTD,947017
RURALELECTRIFICATION,18371
SESAGOA,18377
SHREECEMENTS,18383
SHRIRAMTRANSPORTFINANCE,18386
SIEMENSLTD,18387
SKSMICROFINANCE,18391
SREIINFRASTRUCTUREFINANCE,18396
SRF,18397
STATEBANKOFINDIA,18376
STEELAUTHORITYOFINDIA,18399
SUNPHARMAADVANCEDRESEARCH,18405
SUNTVNETWORK,18406
SUZLONENERGY,18413
SYNDICATEBANK,18415
TATACHEMICALS,18417
TATACOMMUNICATIONS,18419
TATACONSULTANCYSERVICES,18420
TATAELXSILIMITED,18421
TATAGLOBALBEVERAGES,18422
TATAMOTORSDVLTD,947268
TATAMOTORSLTD,18425
TATAPOWERCOMPANY,18426
TATASTEEL,18428
TECHMAHINDRA,18429
THEFEDERALBANK,18125
THEINDIACEMENTSLIMITED,18204
THEKARNATAKABANK,18254
THESOUTHINDIANBANK,18395
TITANINDUSTRIES,18433
TORRENTPHARMACEUTICALS,18435
TV18BROADCAST,18441
TVSMOTORCOMPANY,18442
UJJIVANFINANCIALSERVICESLTD,978766
ULTRATECHCEMENT,18445
UNIONBANKOFINDIA,18447
UNITEDBREWERIES,18449
UNITEDPHOSPHORUS,18450
VGUARDINDUSTRIESLTD,39926
VOLTAS,18462
WIPROLTD,18467
WOCKHARDT,18468
YESBANK,18470
ZEEENTERTAINMENTENTERPRISES,18471
BANKNIFTY,17950
